Designator,Package Type,TopMark,PartNumber,Part Type,Link to Datasheet,Link to Buy
C0,SMD,,,Capacitor,,
C1,SMD,,,Capacitor,,
C2,TH,,1uf 63v,Capacitor,,
C3,SMD,,,Capacitor,,
C4,SMD,,,Capacitor,,
C5,TH,,10uf 25v,Capacitor,,
D0,TH,,1N4148 ,Diode,,
D1,TH,,RED LED,LED,,
D2,TH,,GREEN LED,LED,,
Q0,TH,zvp 2106 A,,Mosfet P-Chan,http://www.farnell.com/datasheets/1639168.pdf,
R0,SMD,102,1K,Resistor,,
R1,SMD,102,1K,Resistor,,
R2,SMD,102,1K,Resistor,,
R3,SMD,102,1K,Resistor,,
R4,SMD,472,4.7K,Resistor,,
R5,SMD,102,1K,Resistor,,
R6,SMD,102,1K,Resistor,,
VR0,TH,CITEC 1uk 3390,,Vres/Pot,,
S0,TH,,Non-latching sp button,Button,,
SW0,TH,TL36 APEM CO,SPDT,Toggle Switch,,
U0,SOP-14,TIF044 FS F74,F74 ?,Flip-Flop?,https://www.ti.com/lit/ds/sdfs046a/sdfs046a.pdf?ts=1609405119934,
U9,SOP,KM6264ALG-10 934,KM6264ALG-10,SRAM,https://www.datasheets360.com/pdf/9104558226586085983,
U10,TQFP,S 27C512-15 A 2307E0609031LE, 27C512-15 ,EPROM,https://www.digchip.com/datasheets/parts/datasheet/272/27C512-15-pdf.php,
U1,TQFP,TI 036FF 16L8-25C,16L8-25C,PAL,"https://media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TIBPAL16L8,R4,R6,R8_-25C,-30M__Aug2015.pdf",
U2,TQFP,TI 036FF 16L8-25C,16L8-25C,PAL,"https://media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TIBPAL16L8,R4,R6,R8_-25C,-30M__Aug2015.pdf",
U3,TQFP,TI 036FF 16L8-25C,16L8-25C,PAL,"https://media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TIBPAL16L8,R4,R6,R8_-25C,-30M__Aug2015.pdf",
U4,TQFP,TI 042FF 16L8-25C,16L8-25C,PAL,"https://media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TIBPAL16L8,R4,R6,R8_-25C,-30M__Aug2015.pdf",
U5,TQFP,TI 026FF 16L8-25C,16L8-25C,PAL,"https://media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TIBPAL16L8,R4,R6,R8_-25C,-30M__Aug2015.pdf",
U6,SOP-8,TI001A NE555,NE555,555 Timer,https://www.ti.com/lit/ds/symlink/ne555.pdf,
U7,SOP,KM62256ALG-10 005B,KM6264ALG-10,SRAM,https://www.datasheets360.com/pdf/9104558226586085983,
U8,TQFP,S 27C512-15 A 2307E0609031LE, 27C512-15 ,EPROM,https://www.digchip.com/datasheets/parts/datasheet/272/27C512-15-pdf.php,
